Date,Close,High,Low,Open,Volume,RSI,MA10,MA20,MA50,MACD
2025-03-28,64332.69140625,65226.20100911458,64332.69140625,65027.643319589115,1650600,26.072596212119052,65742.449609375,64673.957421875,80844.25046875,772.6871045593425
2025-03-31,63538.4609375,64729.80708007812,63538.4609375,64233.4128540039,1771900,24.691054445830503,65414.829296875,64752.98203125,80294.245625,720.2371216778174
2025-04-01,64034.85546875,64829.086234253875,63538.46124031008,64233.41316012597,1715200,27.284469600574184,65186.48828125,64866.7875,79760.125546875,728.57354210636
2025-04-02,64332.69140625,65524.037543402774,64134.13371672454,64531.24909577546,2330700,28.867282826477833,65017.714453125,64995.484765625,79235.93328125,760.2405815053926
2025-04-03,59865.140625,63935.573072139305,59865.140625,63538.45771144279,9806100,21.357466570845233,64372.401953125,64884.202734375,78596.5775,499.02217270887286
2025-04-04,59567.3046875,59567.3046875,55794.708723958334,56291.1029296875,11887700,20.965879119118355,63776.72890625,64704.903125,77949.279375,332.88642739005263
2025-04-08,55397.59375,59368.74742383513,55397.59375,59368.74742383513,7181200,16.425344009887212,62714.4453125,64260.6716796875,77218.58703125,-12.796968820378424
2025-04-09,52121.39453125,59269.47149553571,51625.000297619044,51625.000297619044,8995800,13.881554856010169,61354.325390625,63652.6302734375,76422.370703125,-395.84506198473173
2025-04-10,55695.4296875,55695.4296875,55695.4296875,55695.4296875,174400,27.138357616732918,60391.3203125,63126.4521484375,75697.635078125,-344.1644439412421
2025-04-11,59368.75,59468.02884615385,57581.73076923077,59368.75,8059500,37.7454922590634,59825.43125,62843.5076171875,75046.365859375,-15.59290809468439
2025-04-14,58872.35546875,59567.30738827993,58276.6823948672,59567.30738827993,3619500,36.96240136309332,59279.39765625,62510.9236328125,74385.16875,203.23830719224406
2025-04-15,59567.3046875,60460.8142578125,57879.56438802083,58673.795117187496,5633100,38.8743718432439,58882.28203125,62148.5556640625,73757.72640625,417.3804753847362
2025-04-16,58872.35546875,59865.14392522133,58574.5189318086,59269.470851338534,2625800,37.64475259581798,58366.03203125,61776.26015625,73108.442734375,527.706587634696
2025-04-17,57681.0078125,58872.35392910929,57681.0078125,58872.35392910929,3151800,35.567764691256,57700.863671875,61359.2890625,72423.418671875,534.2975915004317
2025-04-18,57681.0078125,59170.19045826162,57681.0078125,58276.680870804645,2165400,35.567764691256,57482.450390625,60927.426171875,71732.437890625,550.3351797283885
2025-04-21,57780.28515625,58475.237039572596,57681.00631577535,58078.12167767397,1290500,35.909511214196556,57303.7484375,60540.238671875,71041.45703125,576.5343101002554
